Word,Time_s,Intensity_dB
your,0.544615,55.330979
your,0.556923,61.486618
your,0.569231,65.740646
your,0.581538,68.134571
your,0.593846,68.754169
your,0.606154,68.404254
your,0.618462,68.658068
your,0.630769,69.927815
your,0.643077,71.146735
your,0.655385,72.321852
your,0.667692,73.328413
your,0.68,73.763439
your,0.692308,73.815383
your,0.704615,73.813687
your,0.716923,73.892812
your,0.729231,73.842013
your,0.741538,73.299173
your,0.753846,72.327064
your,0.766154,71.634897
your,0.778462,71.50649
your,0.790769,71.62679
your,0.803077,71.481186
your,0.815385,71.387505
your,0.827692,71.150138
your,0.84,69.762973
your,0.852308,66.621027
your,0.864615,61.364602
good,0.876923,54.252855
good,0.889231,47.87084
good,0.901538,44.749512
good,0.913846,43.156496
good,0.926154,44.297553
good,0.938462,52.424277
good,0.950769,61.935421
good,0.963077,68.030798
good,0.975385,70.72695
good,0.987692,71.015317
good,1,70.392272
good,1.012308,70.157315
good,1.024615,70.210327
good,1.036923,70.189103
good,1.049231,70.052723
good,1.061538,69.359087
good,1.073846,67.583534
good,1.086154,64.006149
good,1.098462,57.732381
good,1.110769,48.91828
good,1.123077,41.070686
good,1.135385,36.400362
good,1.147692,32.981863
good,1.16,31.215548
good,1.172308,30.48266
good,1.184615,30.039746
good,1.196923,29.364346
good,1.209231,28.66174
good,1.221538,29.89963
good,1.233846,37.577516
good,1.246154,46.331972
good,1.258462,52.524684
good,1.270769,56.826512
pants,1.283077,59.973069
pants,1.295385,61.883849
pants,1.307692,63.219974
pants,1.32,64.3223
pants,1.332308,64.765019
pants,1.344615,64.270878
pants,1.356923,63.398543
pants,1.369231,62.946011
pants,1.381538,62.832914
pants,1.393846,62.834327
pants,1.406154,62.812179
pants,1.418462,62.455466
pants,1.430769,61.971161
pants,1.443077,62.209645
pants,1.455385,62.763664
pants,1.467692,61.977959
pants,1.48,60.007322
pants,1.492308,59.576598
pants,1.504615,60.499799
pants,1.516923,60.220119
pants,1.529231,57.618843
pants,1.541538,52.25075
pants,1.553846,46.503205
pants,1.566154,48.44994
pants,1.578462,51.022571
pants,1.590769,52.141964
pants,1.603077,51.565271
pants,1.615385,49.117357
pants,1.627692,46.144031
pants,1.64,43.581436
pants,1.652308,41.463706
pants,1.664615,42.366612
pants,1.676923,42.677866
pants,1.689231,41.85384
look,1.701538,45.043538
look,1.713846,50.474701
look,1.726154,54.590722
look,1.738462,59.66153
look,1.750769,64.407321
look,1.763077,66.928567
look,1.775385,67.434898
look,1.787692,66.367126
look,1.8,63.306181
look,1.812308,57.478933
look,1.824615,48.867562
look,1.836923,41.054287
look,1.849231,36.662187
look,1.861538,33.522063
look,1.873846,32.572469
look,1.886154,34.677328
look,1.898462,37.84875
look,1.910769,39.980053
look,1.923077,42.706281
great,1.935385,52.583782
great,1.947692,62.278756
great,1.96,68.469991
great,1.972308,72.080511
great,1.984615,73.752052
great,1.996923,74.056275
great,2.009231,73.739037
great,2.021538,72.991449
great,2.033846,71.539716
great,2.046154,69.204561
great,2.058462,67.759206
great,2.070769,66.998906
great,2.083077,65.523008
great,2.095385,63.896251
great,2.107692,61.751147
great,2.12,58.625079
great,2.132308,55.388302
great,2.144615,52.448076
great,2.156923,48.884517
great,2.169231,42.940414
great,2.181538,35.601754
great,2.193846,31.956768